species,complex,Tortoli,Fedrizzi,Romagnoli
Mycobacterium abscessus,M. chelonae-abscessus complex,M. chelonae-abscessus complex,,
Mycobacterium algericum,M. terrae complex,M. terrae complex,,
Mycobacterium arosiense,M. avium complex,M. avium complex,,
Mycobacterium arupense,M. terrae complex,M. terrae complex,,
Mycobacterium avium,M. avium complex,M. avium complex,,
Mycobacterium barrassiae,M. smegmatis group,M. smegmatis group,,
Mycobacterium boenickei,M. fortuitum complex,M. fortuitum complex,,
Mycobacterium brisbanense,M. fortuitum complex,M. fortuitum complex,,
Mycobacterium celatum,M. celatum group,M. celatum group,M. celatum group,
Mycobacterium chelonae,M. chelonae-abscessus complex,M. chelonae-abscessus complex,M. chelonae-abscessus complex,
Mycobacterium colombiense,M. avium complex,M. avium complex,,
Mycobacterium crassicus,M. terrae complex,,,M. terrae complex
Mycobacterium engbaekii,M. terrae complex,M. terrae complex,M. terrae complex,
Mycobacterium europaeum,M. simiae complex,M. simiae complex,M. simiae complex,
Mycobacterium florentinum,M. simiae complex,M. simiae complex,M. simiae complex,
Mycobacterium fortuitum,M. fortuitum complex,M. fortuitum complex,,
Mycobacterium fragae,M. celatum group,M. celatum group,M. celatum group,
Mycobacterium franklinii,M. chelonae-abscessus complex,M. chelonae-abscessus complex,,
Mycobacterium genavense,M. simiae complex,M. simiae complex,,
Mycobacterium heidelbergense,M. simiae complex,M. simiae complex,,
Mycobacterium heraklionense,M. terrae complex,M. terrae complex,,
Mycobacterium hiberniae,M. terrae complex,M. terrae complex,M. terrae complex,
Mycobacterium houstonense,M. fortuitum complex,M. fortuitum complex,,
Mycobacterium immunogenum,M. chelonae-abscessus complex,,M. chelonae-abscessus complex,
Mycobacterium interjectum,M. simiae complex,M. simiae complex,M. simiae complex,
Mycobacterium intermedium,M. simiae complex,M. simiae complex,,
Mycobacterium intracellulare,M. avium complex,M. avium complex,M. avium complex,
Mycobacterium koreense,M. triviale group,M. triviale group,,
Mycobacterium kubicae,M. simiae complex,M. simiae complex,M. simiae complex,
Mycobacterium kumamotonense,M. terrae complex,M. terrae complex,,
Mycobacterium kyorinense,M. celatum group,M. celatum group,M. celatum group,
Mycobacterium lentiflavum,M. simiae complex,M. simiae complex,,
Mycobacterium leprae,M. leprae group,M. leprae group,,
Mycobacterium lepromatosis,M. leprae group,M. leprae group,,
Mycobacterium longobardum,M. terrae complex,M. terrae complex,M. terrae complex,
Mycobacterium mantenii,M. scrofulaceum group,M. scrofulaceum group,,
Mycobacterium marseillense,M. avium complex,M. avium complex,,
Mycobacterium minnesotense,M. terrae complex,M. terrae complex,,
Mycobacterium montefiorense,M. simiae complex,M. simiae complex,,
Mycobacterium nativiensis,M. terrae complex,,,M. terrae complex
Mycobacterium neworleansense,M. fortuitum complex,M. fortuitum complex,,
Mycobacterium nonchromogenicum,M. terrae complex,M. terrae complex,M. terrae complex,
Mycobacterium palustre,M. simiae complex,M. simiae complex,M. simiae complex,
Mycobacterium paraense,M. simiae complex,,M. simiae complex,
Mycobacterium paraffinicum,M. scrofulaceum group,M. scrofulaceum group,,
Mycobacterium parakoreense,M. triviale group,M. triviale group,,
Mycobacterium parascrofulaceum,M. simiae complex,M. simiae complex,,
Mycobacterium paraseoulense,M. scrofulaceum group,M. scrofulaceum group,,
Mycobacterium paraterrae,M. terrae complex,M. terrae complex,,
Mycobacterium parmense,M. simiae complex,M. simiae complex,M. simiae complex,
Mycobacterium peregrinum,M. fortuitum complex,M. fortuitum complex,M. fortuitum complex,
Mycobacterium porcinum,M. fortuitum complex,M. fortuitum complex,,
Mycobacterium salmoniphilum,M. chelonae-abscessus complex,M. chelonae-abscessus complex,,
Mycobacterium saskatchewanense,M. simiae complex,M. simiae complex,M. simiae complex,
Mycobacterium scrofulaceum,M. scrofulaceum group,M. scrofulaceum group,,
Mycobacterium senegalense,M. fortuitum complex,M. fortuitum complex,M. fortuitum complex,
Mycobacterium senriense,M. avium complex,M. avium complex,,
Mycobacterium senuense,M. terrae complex,M. terrae complex,M. terrae complex,
Mycobacterium seoulense,M. scrofulaceum group,M. scrofulaceum group,,
Mycobacterium septicum,M. fortuitum complex,M. fortuitum complex,,
Mycobacterium setense,M. fortuitum complex,M. fortuitum complex,,
Mycobacterium sherrisii,M. simiae complex,M. simiae complex,M. simiae complex,
Mycobacterium shigaense,M. simiae complex,M. simiae complex,,
Mycobacterium simiae,M. simiae complex,M. simiae complex,,
Mycobacterium smegmatis,M. smegmatis group,M. smegmatis group,,
Mycobacterium stomatepiae,M. simiae complex,M. simiae complex,,
Mycobacterium terrae,M. terrae complex,M. terrae complex,M. terrae complex,
Mycobacterium tilburgii,M. simiae complex,M. simiae complex,,
Mycobacterium triplex,M. simiae complex,M. simiae complex,M. simiae complex,
Mycobacterium triviale,M. triviale group,M. triviale group,,
Mycobacterium vasticus,M. terrae complex,,,M. terrae complex
Mycobacterium vulneris,M. avium complex,M. avium complex,,
Mycobacterium wolinskyi,M. smegmatis group,,M. smegmatis group,
Mycobacterium zoologicum,M. terrae complex,,,M. terrae complex
