species,complex,accession
Mycobacterium abscessus,M. chelonae-abscessus complex,GCF_000069185.1
Mycobacterium ahvazicum,M. simiae complex,GCF_900176255.2
Mycobacterium algericum,M. terrae complex,GCF_002086455.1
Mycobacterium algericum_A,M. terrae complex,GCF_003284925.1
Mycobacterium alvei,M. fortuitum complex,GCF_010727325.1
Mycobacterium appelbergii,M. fortuitum complex,GCF_032883035.1
Mycobacterium aquaticum,M. fortuitum complex,GCF_002086485.1
Mycobacterium arosiense,M. avium complex,GCF_002086125.1
Mycobacterium arosiense_A,M. avium complex,GCF_003284935.1
Mycobacterium arupense,M. terrae complex,GCF_002086515.1
Mycobacterium avium,M. avium complex,GCF_009741445.1
Mycobacterium boenickei,M. fortuitum complex,GCF_010731295.1
Mycobacterium branderi,M. celatum group,GCF_010728725.1
Mycobacterium brisbanense,M. fortuitum complex,GCF_001570425.1
Mycobacterium celatum,M. celatum group,GCF_002101595.1
Mycobacterium chelonae,M. chelonae-abscessus complex,GCF_001632805.1
Mycobacterium chelonae_A,M. chelonae-abscessus complex,GCA_014204435.1
Mycobacterium colombiense,M. avium complex,GCF_002105755.1
Mycobacterium colombiense_A,M. avium complex,GCF_001665835.1
Mycobacterium colombiense_B,M. avium complex,GCF_001953985.1
Mycobacterium colombiense_C,M. avium complex,GCF_001672755.1
Mycobacterium dioxanotrophicus,M. fortuitum complex,GCF_002157835.1
Mycobacterium engbaekii,M. terrae complex,GCF_002101585.1
Mycobacterium europaeum,M. scrofulaceum group,GCF_002102155.1
Mycobacterium europaeum_A,M. avium complex,GCF_003284975.1
Mycobacterium florentinum,M. simiae complex,GCF_010730355.1
Mycobacterium fortuitum,M. fortuitum complex,GCF_022179545.1
Mycobacterium fortunisiensis,M. fortuitum complex,GCF_019050325.1
Mycobacterium franklinii,M. chelonae-abscessus complex,GCF_002013895.1
Mycobacterium frederiksbergense_B,M. fortuitum complex,GCF_029893345.1
Mycobacterium genavense,M. simiae complex,GCF_000526915.1
Mycobacterium goodii,M. smegmatis group,GCF_022370755.2
Mycobacterium goodii_B,M. smegmatis group,GCF_001187505.1
Mycobacterium gwanakae,M. chelonae-abscessus complex,GCF_016767715.1
Mycobacterium hainanense,M. scrofulaceum group,GCF_041890355.1
Mycobacterium heraklionense,M. terrae complex,GCF_019645815.1
Mycobacterium heraklionense_A,M. terrae complex,GCF_046250095.1
Mycobacterium heraklionense_C,M. terrae complex,GCA_024758765.1
Mycobacterium hiberniae,M. terrae complex,GCF_010729485.1
Mycobacterium holstebronense,M. terrae complex,GCF_963378105.1
Mycobacterium houstonense,M. fortuitum complex,GCF_025823315.1
Mycobacterium icosiumassiliensis,M. terrae complex,GCF_900078685.2
Mycobacterium immunogenum,M. chelonae-abscessus complex,GCF_001605725.1
Mycobacterium intracellulare,M. avium complex,GCF_000277125.1
Mycobacterium kokjensenii,M. terrae complex,GCF_963378075.1
Mycobacterium koreense,M. triviale group,GCF_002104795.1
Mycobacterium kumamotonense,M. terrae complex,GCF_002086285.1
Mycobacterium kyorinense,M. celatum group,GCF_002101735.1
Mycobacterium lentiflavum,M. simiae complex,GCF_022374895.2
Mycobacterium leprae,M. leprae group,GCF_000195855.1
Mycobacterium lepromatosis,M. leprae group,GCF_000975265.2
Mycobacterium longobardum,M. terrae complex,GCF_002102265.1
Mycobacterium lutetiense,M. fortuitum complex,GCF_017876775.1
Mycobacterium mantenii,M. avium complex,GCF_010731775.1
Mycobacterium mantenii_A,M. avium complex,GCF_001667865.1
Mycobacterium marseillense,M. avium complex,GCF_010731675.1
Mycobacterium minnesotense,M. terrae complex,GCF_010731755.1
Mycobacterium montefiorense,M. simiae complex,GCF_025823255.1
Mycobacterium nebraskense,M. scrofulaceum group,GCF_002102255.1
Mycobacterium neworleansense,M. fortuitum complex,GCF_001245615.1
Mycobacterium nivoides,M. fortuitum complex,GCF_003855255.1
Mycobacterium nonchromogenicum,M. terrae complex,GCF_002101775.1
Mycobacterium numidiamassiliense,M. simiae complex,GCF_900157365.1
Mycobacterium paraffinicum,M. scrofulaceum group,GCF_025822865.1
Mycobacterium paraffinicum_A,M. scrofulaceum group,GCF_001907675.1
Mycobacterium parakoreense,M. triviale group,GCF_022370835.2
Mycobacterium parascrofulaceum,M. scrofulaceum group,GCF_000164135.1
Mycobacterium paraseoulense,M. scrofulaceum group,GCF_010731655.1
Mycobacterium peregrinum,M. fortuitum complex,GCF_002102345.1
Mycobacterium peregrinum_A,M. fortuitum complex,GCF_001665785.1
Mycobacterium peregrinum_B,M. fortuitum complex,GCF_001665625.1
Mycobacterium porcinum,M. fortuitum complex,GCF_025823105.1
Mycobacterium porcinum_A,M. fortuitum complex,GCA_001942045.1
Mycobacterium rhizamassiliense,M. simiae complex,GCF_900157375.1
Mycobacterium salmoniphilum,M. chelonae-abscessus complex,GCF_004924335.1
Mycobacterium saopaulense,M. chelonae-abscessus complex,GCF_001456355.1
Mycobacterium scrofulaceum,M. scrofulaceum group,GCF_002086735.1
Mycobacterium scrofulaceum_C,M. scrofulaceum group,GCF_001667885.1
Mycobacterium senegalense,M. fortuitum complex,GCF_019645875.1
Mycobacterium senriense,M. avium complex,GCF_019668465.1
Mycobacterium senuense,M. terrae complex,GCF_002101885.1
Mycobacterium seoulense,M. scrofulaceum group,GCF_010731595.1
Mycobacterium septicum,M. fortuitum complex,GCF_000455325.1
Mycobacterium setense,M. fortuitum complex,GCF_000805385.1
Mycobacterium sherrisii,M. simiae complex,GCF_002102355.1
Mycobacterium shigaense,M. simiae complex,GCF_002356315.1
Mycobacterium simiae,M. simiae complex,GCF_010727605.1
Mycobacterium sinense_A,M. terrae complex,GCF_001667375.1
Mycobacterium sinense_B,M. terrae complex,GCF_001667945.1
Mycobacterium sinense_C,M. terrae complex,GCF_001673565.1
Mycobacterium smegmatis,M. smegmatis group,GCF_001457595.1
Mycobacterium sp000373905,M. fortuitum complex,GCF_000373905.1
