species,accession,complex_literature,Tortoli,Fedrizzi,Romagnoli,complex_gtdb,historical,retained,new,dropped
Mycobacterium abscessus,GCF_000069185.1,M. chelonae-abscessus complex,M. chelonae-abscessus complex,"","",M. chelonae-abscessus complex,TRUE,TRUE,FALSE,FALSE
Mycobacterium acidiphilum,GCF_018455725.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium adipatum,GCF_001644575.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium agri,GCF_002553505.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium ahvazicum,GCF_900176255.2,,,,,M. simiae complex,FALSE,,TRUE,FALSE
Mycobacterium aichiense,GCF_010726245.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium algericum,GCF_002086455.1,M. terrae complex,M. terrae complex,"","",M. terrae complex,TRUE,TRUE,FALSE,FALSE
Mycobacterium algericum_A,GCF_003284925.1,,,,,M. terrae complex,FALSE,,TRUE,FALSE
Mycobacterium alkanivorans,GCF_022760805.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium alsense,GCF_002086635.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium alvei,GCF_010727325.1,,,,,M. fortuitum complex,FALSE,,TRUE,FALSE
Mycobacterium angelicum,GCF_025822405.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium anyangense,GCF_010731855.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium appelbergii,GCF_032883035.1,,,,,M. fortuitum complex,FALSE,,TRUE,FALSE
Mycobacterium aquaticum,GCF_002086485.1,,,,,M. fortuitum complex,FALSE,,TRUE,FALSE
Mycobacterium aquicola,GCA_965234515.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium arabiense,GCF_010731815.2,,,,,,FALSE,,FALSE,FALSE
Mycobacterium arenosum,GCF_024320865.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium aromaticivorans,GCF_000559085.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium arosiense,GCF_002086125.1,M. avium complex,M. avium complex,"","",M. avium complex,TRUE,TRUE,FALSE,FALSE
Mycobacterium arosiense_A,GCF_003284935.1,,,,,M. avium complex,FALSE,,TRUE,FALSE
Mycobacterium arseniciresistens,GCF_030519285.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium arupense,GCF_002086515.1,M. terrae complex,M. terrae complex,"","",M. terrae complex,TRUE,TRUE,FALSE,FALSE
Mycobacterium asiaticum,GCF_000613245.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium asiaticum_A,GCF_001673365.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium asiaticum_B,GCF_001673315.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium asiaticum_C,GCF_001673635.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium asiaticum_D,GCF_001668675.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium attenuatum,GCF_900566085.1,,,,,,FALSE,,FALSE,FALSE
Mycobacterium aubagnense,GCF_010730955.1,,,,,,FALSE,,FALSE,FALSE
