complex_gtdb,new_species,dropped_species,retained_species
M. avium complex,Mycobacterium mantenii,,"Mycobacterium arosiense, Mycobacterium avium, Mycobacterium colombiense, Mycobacterium intracellulare, Mycobacterium marseillense, Mycobacterium senriense, Mycobacterium vulneris"
M. celatum group,Mycobacterium branderi,Mycobacterium fragae,"Mycobacterium celatum, Mycobacterium kyorinense"
M. chelonae-abscessus complex,"Mycobacterium gwanakae, Mycobacterium saopaulense, Mycobacterium stephanolepidis",,"Mycobacterium abscessus, Mycobacterium chelonae, Mycobacterium franklinii, Mycobacterium immunogenum, Mycobacterium salmoniphilum"
M. fortuitum complex,"Mycobacterium alvei, Mycobacterium appelbergii, Mycobacterium aquaticum, Mycobacterium dioxanotrophicus, Mycobacterium fortunisiensis, Mycobacterium lutetiense, Mycobacterium nivoides, Mycobacterium syngnathidarum",,"Mycobacterium boenickei, Mycobacterium brisbanense, Mycobacterium fortuitum, Mycobacterium houstonense, Mycobacterium neworleansense, Mycobacterium peregrinum, Mycobacterium porcinum, Mycobacterium senegalense, Mycobacterium septicum, Mycobacterium setense"
M. leprae group,,,"Mycobacterium leprae, Mycobacterium lepromatosis"
M. scrofulaceum group,"Mycobacterium europaeum, Mycobacterium hainanense, Mycobacterium nebraskense, Mycobacterium parascrofulaceum",,"Mycobacterium paraffinicum, Mycobacterium paraseoulense, Mycobacterium scrofulaceum, Mycobacterium seoulense"
M. simiae complex,"Mycobacterium ahvazicum, Mycobacterium numidiamassiliense, Mycobacterium rhizamassiliense","Mycobacterium heidelbergense, Mycobacterium interjectum, Mycobacterium intermedium, Mycobacterium kubicae, Mycobacterium palustre, Mycobacterium paraense, Mycobacterium parmense, Mycobacterium saskatchewanense","Mycobacterium florentinum, Mycobacterium genavense, Mycobacterium lentiflavum, Mycobacterium montefiorense, Mycobacterium sherrisii, Mycobacterium shigaense, Mycobacterium simiae, Mycobacterium stomatepiae, Mycobacterium tilburgii, Mycobacterium triplex"
M. smegmatis group,Mycobacterium goodii,Mycobacterium barrassiae,"Mycobacterium smegmatis, Mycobacterium wolinskyi"
M. terrae complex,"Mycobacterium holstebronense, Mycobacterium icosiumassiliensis, Mycobacterium kokjensenii, Mycobacterium virginiense",Mycobacterium paraterrae,"Mycobacterium algericum, Mycobacterium arupense, Mycobacterium crassicus, Mycobacterium engbaekii, Mycobacterium heraklionense, Mycobacterium hiberniae, Mycobacterium kumamotonense, Mycobacterium longobardum, Mycobacterium minnesotense, Mycobacterium nativiensis, Mycobacterium nonchromogenicum, Mycobacterium senuense, Mycobacterium terrae, Mycobacterium vasticus, Mycobacterium zoologicum"
M. triviale group,,,"Mycobacterium koreense, Mycobacterium parakoreense, Mycobacterium triviale"
